"crash_id","crash_datetime","crash_date","latitude","longitude","n_crash_reports","contains_fatality_words","contains_pedestrian_words","contains_matatu_words","contains_motorcycle_words"
2811,2017-08-22 19:30:27,2017-08-22,-1.34536452538128,36.9026036139797,6,1,0,0,0
2812,2017-08-23 05:25:28,2017-08-23,-1.25905547749397,36.7785192047674,12,0,0,0,0
2813,2017-08-24 07:30:52,2017-08-24,-1.25247225,36.859501,2,0,0,0,0
2814,2017-08-25 06:57:05,2017-08-25,-1.26390520738452,36.7579849286835,9,1,0,0,1
2815,2017-08-25 07:15:15,2017-08-25,-1.260275,36.77083,2,1,0,0,0
2816,2017-08-25 07:33:05,2017-08-25,-1.25946,36.77551,2,1,0,0,0
2817,2017-08-26 19:49:49,2017-08-26,-1.255945265,36.69554907,10,0,0,0,0
2818,2017-08-27 15:18:22,2017-08-27,-1.211206,36.906606,2,0,0,0,0
2819,2017-08-27 20:04:42,2017-08-27,-1.2713755,36.997015,2,0,0,0,0
2820,2017-08-28 16:49:35,2017-08-28,-1.26603879652101,36.8351287723454,4,0,0,1,1
2821,2017-08-28 17:29:15,2017-08-28,-1.260772,36.842033,2,0,0,1,1
2822,2017-08-29 06:12:47,2017-08-29,-1.3792635,36.9278805,2,1,0,0,0
2823,2017-08-29 06:19:07,2017-08-29,-1.2627803,36.76434337,2,0,0,0,0
2824,2017-08-29 06:26:57,2017-08-29,-1.2601155,36.843431,11,0,0,0,0
2825,2017-08-29 06:31:37,2017-08-29,-1.25675197686132,36.8547970797145,10,0,0,0,0
2826,2017-08-29 13:36:07,2017-08-29,-1.323534,36.7995,7,0,0,1,0
2827,2017-08-29 20:49:28,2017-08-29,-1.260772,36.842033,3,0,0,1,0
2828,2017-08-31 17:39:14,2017-08-31,-1.324376160834,36.8987492471772,5,0,0,0,0
2829,2017-09-01 10:53:16,2017-09-01,-1.2047445,36.916139,2,0,0,0,0
2830,2017-09-01 18:00:37,2017-09-01,-1.23355948260662,36.8729856361603,3,0,0,0,0
2831,2017-09-03 09:20:42,2017-09-03,-1.2586971076066,36.8426343828185,3,0,0,0,0
2832,2017-09-03 15:31:13,2017-09-03,-1.3293285,36.855178,2,0,0,0,0
2833,2017-09-04 06:08:05,2017-09-04,-1.260772,36.842033,3,0,0,0,0
2834,2017-09-04 06:38:25,2017-09-04,-1.299233,36.763282,2,0,0,0,0
2835,2017-09-05 18:35:59,2017-09-05,-1.443407,36.989655,2,0,0,0,0
2836,2017-09-06 15:16:32,2017-09-06,-1.23460584185599,36.8739357651024,67,1,0,1,0
2837,2017-09-06 15:29:12,2017-09-06,-1.24480338436144,36.8670014068071,14,1,0,0,0
2838,2017-09-06 15:35:12,2017-09-06,-1.2491535,36.862716,3,1,0,0,0
2839,2017-09-06 15:45:42,2017-09-06,-1.2045935,36.9162725,5,1,0,0,0
2840,2017-09-06 20:03:07,2017-09-06,-1.274886,36.818007,6,0,0,1,0
2841,2017-09-07 06:03:19,2017-09-07,-1.2131508,36.9015692,2,0,0,0,0
2842,2017-09-08 06:20:32,2017-09-08,-1.149233,36.962258,3,0,0,0,0
2843,2017-09-08 06:42:12,2017-09-08,-1.229704,36.804086,2,0,0,0,0
2844,2017-09-08 22:34:44,2017-09-08,-1.328526075,36.8808975,4,1,1,0,0
2845,2017-09-09 05:44:35,2017-09-09,-1.27374889944141,36.8253305287825,5,1,1,0,0
2846,2017-09-11 17:07:12,2017-09-11,-1.364553,36.911256,2,0,0,0,0
2847,2017-09-12 07:20:44,2017-09-12,-1.274509,36.81225,2,0,0,1,0
2848,2017-09-12 19:13:35,2017-09-12,-1.44941,36.968283,2,0,0,0,0
2849,2017-09-12 20:01:45,2017-09-12,-1.35951,36.907839,2,0,0,0,0
2850,2017-09-13 07:51:37,2017-09-13,-1.255880265,36.69553807,2,0,0,0,0
2851,2017-09-14 13:35:08,2017-09-14,-0.982614,36.585946,2,0,0,0,0
2852,2017-09-15 06:48:10,2017-09-15,-1.244895,36.866971175,3,0,0,1,0
2853,2017-09-16 08:01:14,2017-09-16,-1.42008,36.953915,4,1,0,0,0
2854,2017-09-18 07:18:19,2017-09-18,-1.30415040137245,36.8559976248281,3,0,0,0,0
2855,2017-09-18 11:18:50,2017-09-18,-1.226156,36.884367,2,0,0,0,0
2856,2017-09-18 15:20:21,2017-09-18,-1.304764,36.856111,2,0,0,0,0
2857,2017-09-18 16:45:51,2017-09-18,-1.1503885,36.66795,3,0,0,0,0
2858,2017-09-19 10:12:53,2017-09-19,-1.24496186752857,36.8669004099081,3,1,1,0,1
2859,2017-09-19 12:08:53,2017-09-19,-1.379238,36.927857,3,0,0,0,0
2860,2017-09-21 07:38:29,2017-09-21,-1.344302,36.90205075,2,0,0,0,0
2861,2017-09-21 07:45:59,2017-09-21,-1.1657735,36.6406665,2,0,0,0,0
2862,2017-09-21 19:05:00,2017-09-21,-1.26075728053747,36.8419469991976,4,0,0,0,1
2863,2017-09-22 06:21:01,2017-09-22,-1.2608235,36.841961,3,0,0,0,0
2864,2017-09-22 06:48:01,2017-09-22,-1.304699,36.826291,2,0,0,0,0
2865,2017-09-22 07:56:32,2017-09-22,-1.256578,36.854809,2,0,0,0,0
2866,2017-09-22 11:17:02,2017-09-22,-1.260709,36.716662,2,0,0,1,0
2867,2017-09-22 20:04:03,2017-09-22,-1.317724,36.918491,2,0,0,0,0
2868,2017-09-23 06:41:05,2017-09-23,-1.44941,36.968283,2,0,0,0,0
2869,2017-09-25 16:44:12,2017-09-25,-1.227806,36.66455,4,0,0,0,0
2870,2017-09-26 15:35:14,2017-09-26,-1.205178,36.915715,2,0,0,0,0
2871,2017-09-27 06:19:01,2017-09-27,-1.27477928,36.82380596,2,0,0,1,0
2872,2017-09-27 07:46:32,2017-09-27,-1.26979834,36.82041772,2,0,0,1,0
2873,2017-09-30 11:17:13,2017-09-30,-1.309324,36.856695,2,0,0,0,0
2874,2017-10-01 19:28:47,2017-10-01,-1.218893,36.892208,2,0,0,0,0
2875,2017-10-01 19:29:47,2017-10-01,-1.205292,36.915615,3,0,0,0,0
2876,2017-10-02 21:33:50,2017-10-02,-1.204017,36.916781,2,1,0,0,0
2877,2017-10-03 06:08:21,2017-10-03,-1.24479,36.866975,2,0,0,0,0
2878,2017-10-03 06:16:21,2017-10-03,-1.2341507,36.8729868,3,0,0,0,0
2879,2017-10-03 08:08:52,2017-10-03,-1.256155,36.855219,3,0,0,0,0
2880,2017-10-04 06:20:24,2017-10-04,-1.20537690833812,36.7840823620722,4,0,0,0,0
2881,2017-10-04 15:05:25,2017-10-04,-1.327561,36.852158,2,0,0,0,0
2882,2017-10-05 06:31:28,2017-10-05,-1.329867,36.8707925,2,1,0,0,0
2883,2017-10-05 15:02:29,2017-10-05,-1.204107,36.916781,2,0,0,0,0
2884,2017-10-05 16:03:59,2017-10-05,-1.263632,36.8013385,2,0,0,0,0
2885,2017-10-05 19:03:29,2017-10-05,-1.23520818474452,36.8733854210038,15,0,0,0,0
2886,2017-10-05 19:15:29,2017-10-05,-1.244735,36.866984,2,0,0,0,0
2887,2017-10-05 20:04:59,2017-10-05,-1.2597595,36.8439435,2,0,0,0,0
2888,2017-10-05 20:41:59,2017-10-05,-1.3258986632325,36.8472982887813,4,0,0,0,0
2889,2017-10-06 16:42:11,2017-10-06,-1.272106,36.8276655,2,0,0,0,0
2890,2017-10-07 07:36:13,2017-10-07,-1.4434185,36.9895455,3,0,0,0,0
2891,2017-10-07 10:18:13,2017-10-07,-1.330879,36.858597,2,0,0,0,0
2892,2017-10-07 10:35:13,2017-10-07,-1.2370915,36.8714125,3,1,0,0,0
2893,2017-10-07 17:35:44,2017-10-07,-1.24984068481229,36.8619629644314,6,0,0,0,0
2894,2017-10-08 05:56:16,2017-10-08,-1.304699,36.826291,2,0,0,0,0
2895,2017-10-09 05:52:19,2017-10-09,-1.3324765,36.7822985,6,0,0,0,0
2896,2017-10-09 11:58:19,2017-10-09,-1.285867,36.818659,2,0,0,0,0
2897,2017-10-09 17:58:20,2017-10-09,-1.20446142906061,36.9163790863346,9,0,0,0,0
2898,2017-10-09 18:13:20,2017-10-09,-1.210992,36.9069185,3,0,0,0,0
2899,2017-10-09 21:01:50,2017-10-09,-1.206530985,36.783154535,2,0,1,0,0
2900,2017-10-10 06:02:22,2017-10-10,-1.3657209,36.76645335,2,0,0,0,0
2901,2017-10-10 08:15:22,2017-10-10,-1.2285955,36.79852,2,0,0,0,0
